,comments,labels
345,بسیار عالی.,پیشنهاد می‌کنم
346,نسبت به قیمت خوب است.,پیشنهاد می‌کنم
347,در‌حد قیمت بدک نیست,پیشنهاد می‌کنم
348,.,پرتاب باد عالی
349,تحویل آسان,پیشنهاد می‌کنم
350,دو هفته پیش مبلغ پرداخت شده برای ۲ عدد پنکه یک عدد آوردن و تحویل دادن و اون یکی دو هفته هست بلاتکلیفه و هر چی پیگیری می کنم هیچ فایده ای نداره. از دی جی کالا بعید بود👎,پیشنهاد نمی‌کنم
351,خوبه,پیشنهاد می‌کنم
352,عالیی,پیشنهاد می‌کنم
353,پنکه,پیشنهاد می‌کنم
354,به نسبت قیمت محصولی قابل قبول,پیشنهاد می‌کنم
355,خرید دوم,پیشنهاد می‌کنم
356,عالی احسنت به تولید کننده ایرانی ،خداروشکر این سایزش برای اتاق مناسبه,پیشنهاد می‌کنم
357,واقعا کارا,پیشنهاد می‌کنم
358,کارایی خوب,پیشنهاد می‌کنم
359,پنکه رو میزی شیک,پیشنهاد می‌کنم
360,برای دفتر کار روی میز خیلی خوب و عالیه👌👌,پیشنهاد می‌کنم
361,خیلی خوب بود.,پیشنهاد می‌کنم
362,پنکه رومیزی دمنده,پیشنهاد می‌کنم
363,عالی,پیشنهاد می‌کنم
364,خوبه بد نیست,پیشنهاد می‌کنم
365,همونی بود که میخواستم,پیشنهاد می‌کنم
366,برای محیط ها کوچک خوب و با بازدهی مناسب,پیشنهاد می‌کنم
367,عالی,پیشنهاد می‌کنم
368,عالی عالی عالی,پیشنهاد می‌کنم
369,عالی و خنک کننده,پیشنهاد می‌کنم
370,خوبه,مطمئن نیستم
371,کوچک اما کاربردی,پیشنهاد می‌کنم
372,خوبه,پیشنهاد می‌کنم
373,پنکه دمنده,پیشنهاد می‌کنم
374,نسبت به قیمتش عالیه ،پرتاب باد خوبی داره و صداش کمه,پیشنهاد می‌کنم
375,پرتاب باد متوسطی دارد,مطمئن نیستم
376,کار راه اندازه. یکم سروصداش بالاست.,پیشنهاد می‌کنم
377,خوبه,پیشنهاد می‌کنم
378,کارآیی مورد نظرم داره,پیشنهاد می‌کنم
379,خوب,پیشنهاد می‌کنم
380,مناسب محیط کوچک,پیشنهاد می‌کنم
381,مناسب توی بازه قیمتی خودش,پیشنهاد می‌کنم
382,پرتاب باد خوب و پر قدرت و زیباست,پیشنهاد می‌کنم
383,من برای سرکار خریدم‌ روی میر میزارم بادش خوبه,پیشنهاد می‌کنم
384,سایزش کمی بزرگه ولی پرتاب باد خوبی داره و بر خلاف کامنت های دیگران خیلی صدای زیادی نداره,پیشنهاد می‌کنم
385,مطابق توضیحات عملکرد خوب,پیشنهاد می‌کنم
386,خوب بود,پیشنهاد می‌کنم
387,ممنون از عوامل برنامه,پیشنهاد می‌کنم
388,برای اتاق های کوچیک مناسبه,پیشنهاد می‌کنم
389,برای میزکار گرفتم ، عالی بود,پیشنهاد می‌کنم
390,سازنده با هوش ،درجه از زیاد به کم برای طول عمر دستگاهه,پیشنهاد می‌کنم
391,نیاز,پیشنهاد می‌کنم
392,برای اونهایی که فاصله نزدیک میتونن باشن مثلا کارهای رو میزی مغازه و... بهتره تهیه اش کنن. وگرنه فاصله بیشتر شه بادی به سمت شما نمیاد.,پیشنهاد می‌کنم
393,درجه پنکه مشکل داشت. درجه 2 ضعیف بود یا متوسط و درجه 1 و 3 هم تندتر. اصلا مشخص نبود کدوم ضعیفه کدوم متوسط و کدوم حالت زیاد. مرجوع کردم,مطمئن نیستم
394,خیلی عالی,پیشنهاد می‌کنم
395,پنکه کم جا و سبک,پیشنهاد می‌کنم
396,خوبه,پیشنهاد می‌کنم
397,خیلی سبکِ و جابجاییش راحته،پرتاب بادش برای فاصله دو متر و نیم عالیه،برای مسافرتی که با خودروشخصی بری هم خیلی خوبه,پیشنهاد می‌کنم
398,خیلی خوبه,پیشنهاد می‌کنم
399,کاربردی,پیشنهاد می‌کنم
400,خوبه برای یک نفر,پیشنهاد می‌کنم
401,خوبه و پیشنهادش میکنم,پیشنهاد می‌کنم
402,عالی بود,پیشنهاد می‌کنم
403,مقرون به صرفه,پیشنهاد می‌کنم
404,پنکه رو میزی,مطمئن نیستم
405,طبق نظر بقیه گرفتم در حال حاضر نظری ندارم,مطمئن نیستم
406,دور آرام خیلی کم میلرزه اما دور تندش قطع میشه,پیشنهاد می‌کنم
407,مناسب براي خنك كردن يك نفر روي ميز كار,پیشنهاد می‌کنم
408,عالی است,پیشنهاد می‌کنم
409,برای میز کار عالیه,پیشنهاد می‌کنم
410,خیلی خوب فقط دکمه کم روی 3 تنظیم شده نه یک,پیشنهاد می‌کنم
411,خوبه,پیشنهاد می‌کنم
412,خیلی خوبه,پیشنهاد می‌کنم
413,پیشنهاد می شود,پیشنهاد می‌کنم
414,کاربردی,پیشنهاد می‌کنم
415,ارزش خریدنشو داره,پیشنهاد می‌کنم
416,بسته بندی نامناسب و ترک قاب پشت فن,پیشنهاد نمی‌کنم
417,پیشنهادخرید,پیشنهاد می‌کنم
418,برای فضای کوچک مثل اتاق خواب جوابه,پیشنهاد می‌کنم
419,خوبه,پیشنهاد می‌کنم
420,پنکه,پیشنهاد می‌کنم
421,عالی,پیشنهاد می‌کنم
422,خیلی خوبه و برای اطاق خواب کاملا مناسب و بسیار کم صدا برای چرخش باد کولر در اطاق خواب خیلی خوبه و سبک و کمجاگیر من یه دونه خریدم دیدم کاملا با سلیقه و کار من جور در میاد بلافاصله ۳تا دیگه خریدم هم آشپزخانه هم اطاق خواب دیگه هم برای مادرم همگی کاملا راضی قیمت به بیرون یه کم بالاتره ولی چون ضمانت برگشت داره ولی مغازه دار ضمانت نمیکنه و اگه بزنیم برق مشکلی داشته باشه مرجوع نمیکنن به نظرم خرید از دیجیکالا کاملا منصفانه و منطقی تر هست,پیشنهاد می‌کنم
423,بسیار عالی,پیشنهاد می‌کنم
424,کارایی خوب,پیشنهاد می‌کنم
425,فن,پیشنهاد می‌کنم
426,خرابی,پیشنهاد نمی‌کنم
427,خیلی عالی بود,پیشنهاد می‌کنم
428,پنکه امروز بدستم رسید ظاهر وکارکردش عالیه.,پیشنهاد می‌کنم
429,از یک هفته پیش که به دستم رسید هر روز ازش استفاده میکنم و خیلی راضیم و اینکه چون ساخت ایرانه، حمایت از کالای ایرانی هم هست.,پیشنهاد می‌کنم
430,من به شدت گرمایی هستم و این پنکه رو برای زمانیکه بقیه افراد خانواده کولر رو خاموش میکنن، بخصوص شب ها، تهیه کردم. علی رغم همه نظرات مثبتی که درمورد این پنکه ثبت شده بود، من همچنان تردید داشتم که آیا این پنکه میتونه جوابگو باشه برای من؟ این پنکه دیروز به دستم رسید و دیشب تا صبح (حدودا ۹ ساعت) روی حالت کند روشن بود و فضای اتاقم رو کاملا خنک کرده بود و دقیقا همون چیزی بود که میخواستم و لازمش داشتم. صبح هم به محض خاموش کردنش دمای دستگاه رو چک کردم و اصلا داغ نشده بود و مشکلی ندا ...,پیشنهاد می‌کنم
431,این پنکه رومیزی یا ثابت صدا نداره اصلا ، درجه زیادش که بر عکس 1 هست رو پیچ ولومی در حد درجه ی 2 پنکه های 60 وات هست هیچ لزرش و صدای بدی نداره. اگر چرخشی بودن پنکه مهم نیست براتون و یک پنکه مینی مال کار راه انداز میخوایین بنظرم بهترین گزینه است براتون. ارزش بالا در برابر قیمت داره . این تجربه ی من هست انشاالله راضی باشین شما هم,پیشنهاد می‌کنم
432,عالی بود,پیشنهاد می‌کنم
433,خیلی کاربردی بود,پیشنهاد می‌کنم
434,میزان هوادهی مناسب داره و بسیار کم صداست,پیشنهاد می‌کنم
435,من تا حالا سه تا خریدم برل خودم و اطرافیام واقعا عالیه,پیشنهاد می‌کنم
436,خیلی عالیه برای روی میز,پیشنهاد می‌کنم
437,پنکه رومیزی,پیشنهاد می‌کنم
438,كيفيت عالي,پیشنهاد می‌کنم
439,پنکه رومیزی دمنده مدل Haleh,پیشنهاد می‌کنم
440,جنس آشغال,پیشنهاد نمی‌کنم
441,پنکه رومیزی,پیشنهاد می‌کنم
442,حدود دو ماهه داره کار میکنه برام، صداش خوبه و اذیت‌کننده‌ نیست. بادشم واقعا قوی و خوبه، تو فاصله یه متری با حداقل باد قشنگ خنک میشید جوری که من که رو میز میذارم تا حالا از درجه‌های قوی‌ترش استفاده نکردم.,پیشنهاد می‌کنم
443,پنکه رومیزی,پیشنهاد می‌کنم
444,پنکه,پیشنهاد می‌کنم
445,شدت باد مناسب و سبک وشیک وقشنگه پارسال سایز متوسط گرفتم خیلی راضی هستم,پیشنهاد می‌کنم
446,پنکه,مطمئن نیستم
447,خوب بود من راضی هستم,پیشنهاد می‌کنم
448,پنکه دمنده,پیشنهاد می‌کنم
449,بیشتر برای استفاده در مغازه به کار میاد تا خونه,پیشنهاد می‌کنم
450,عالیییییییییییی,پیشنهاد می‌کنم
451,خیلی خوب و خیلی کم صدا. اونایی که میگن سیمش اشتباه وصله اشتباه میکنن به نظرم این کارو مخصوصا انجام دادن که وقتی پنکه رو روشن میکنیم با دور تند روشن بشه تا فشار کمتری به موتورش بیاد برای شروع دور گرفتنش. 1 تندشه، 2 متوسط، 3 کند,پیشنهاد می‌کنم
452,عالی,پیشنهاد می‌کنم
453,اطلاعی ندارم,مطمئن نیستم
454,واضیم خوبه,پیشنهاد می‌کنم
455,عالیی,پیشنهاد می‌کنم
456,پیشنهاد میکنم,پیشنهاد می‌کنم
457,واقعه راضی کننده،باد خنکی داشت، و بی صدا,پیشنهاد می‌کنم
458,پنکه,پیشنهاد می‌کنم
459,چون با پست به دستم رسید کمی دیرشد و بعد از تماس با ۱۹۳ فرداش به دستم رسوندن، فلفل نبین چه ریزه خیلی دمندگیش خوبه و قیمت مناسبی هم داره.مثل پنکه های ۶ملیونی کار میکنه ممنونم از دیجی کالا,پیشنهاد می‌کنم
460,پنکه,پیشنهاد می‌کنم
461,عالیه,پیشنهاد می‌کنم
462,از خرید این کالا راضی هستم,پیشنهاد می‌کنم
463,عالیه,پیشنهاد می‌کنم
464,ارزش خرید داره,پیشنهاد می‌کنم
465,باد خوبی داره,پیشنهاد می‌کنم
466,راضیم,پیشنهاد می‌کنم
467,عالی,پیشنهاد می‌کنم
468,عالی و کاربردی,پیشنهاد می‌کنم
469,عالی,پیشنهاد می‌کنم
470,خوب,پیشنهاد می‌کنم
471,عالی,پیشنهاد می‌کنم
472,خوب اما با یک مشکل,پیشنهاد می‌کنم
473,خوبه ولی یکم صداش زیاده,پیشنهاد می‌کنم
474,خوب بود,پیشنهاد می‌کنم
475,برای محل کارم گرفتم عالیه,پیشنهاد می‌کنم
476,عالی,پیشنهاد می‌کنم
477,گارانتی,پیشنهاد نمی‌کنم
478,باید موقع خرید با توجه به نیازتون سایز پنکه رو انتخاب کنید چیز خوبیه برای روی میز,پیشنهاد می‌کنم
479,فعلا کولر گازی نمیخوام!,پیشنهاد می‌کنم
480,عااالی بود و مهم تر از همه صدا نداره,پیشنهاد می‌کنم
481,پنکه رومیزی,پیشنهاد می‌کنم
482,محصول خوبه اما ارسال دیجی کالا خیلی خیلی اذیت کننده اس,پیشنهاد می‌کنم
483,خوبه,پیشنهاد می‌کنم
484,عالی,پیشنهاد می‌کنم
485,بعد از سه ماه استفاده سوخت!,پیشنهاد نمی‌کنم
486,پنکه دمنده,پیشنهاد می‌کنم
487,بنظرم کاربردیه,پیشنهاد می‌کنم
488,پرتاب بادش خوبه برای جاهای کوچیک,پیشنهاد می‌کنم
489,الان برای نظردادن زوده، ولی عیبش اینه که اولین درجه اش تنده و درجات بعدی کند است. یعنی درجاتش برعکسه,مطمئن نیستم
490,پنکه رومیزی,پیشنهاد می‌کنم
491,کنار کولر آبی عالیه,پیشنهاد می‌کنم
492,عالی بود,پیشنهاد می‌کنم
493,من برای محل کار گرفتم که خیلی راضیم هم شیکه هم سبک و کارآمد,پیشنهاد می‌کنم
494,کلی تاخیر دارید بعدهم کالا خراب تحویل می دید,پیشنهاد نمی‌کنم
495,خوبه کاش چرخشی بود ظریف و کوچولو ولی گرون,پیشنهاد می‌کنم
496,پنکه رو میزی,پیشنهاد می‌کنم
497,یه دکمه گذاشتن زدش ده بار خاموش روشنش کنی فاتحه دکمه خوندس صداشم که نگم تراکتوره انگار برای طول روز بد نیست برای شب کلا نمیشه استفادش کرد,مطمئن نیستم
498,فقط در حالت تندش بادش تا ۱/۵ متر خوبه که به موتورش فشار میاره دو حالت دیگش خیلی ضعیفه صداش زیاده,پیشنهاد نمی‌کنم
499,عاااالی,پیشنهاد می‌کنم
500,پنکه رومیزی دمنده,پیشنهاد می‌کنم
501,پنکه Haleh,پیشنهاد می‌کنم
502,درکل خوبه ولی ای کاش قیمتش نهایتا چهارصد بود بنظرم گران هست .,پیشنهاد می‌کنم
503,عالی,پیشنهاد می‌کنم
504,عالی,پیشنهاد می‌کنم
505,خوبه ولی میتونست ارزونتر باشه,پیشنهاد می‌کنم
506,خیلی خوب بود.راضی بودم یکسال دارم استفاده میکنم برای اتاق ۱۲متری جواب میده,پیشنهاد می‌کنم
507,خوب,پیشنهاد می‌کنم
508,خوب بود,پیشنهاد می‌کنم
509,عالیه,پیشنهاد می‌کنم
510,فوق العاده بی صدا,پیشنهاد می‌کنم
511,برای اتاق کوچیک پیشنهاد میکنم دمنده همه محصولاتش خوبه و قابل قبول,پیشنهاد می‌کنم
512,خوبه,پیشنهاد می‌کنم
513,پهنای باد نداره باد با ابعاد پرهای پنکه مستقیم در فضای کوچک تا سه متر خوبه,پیشنهاد می‌کنم
514,کیفیت و کارایی خیلی خوبه البته واسه اتاق یا محل کار، امیدوارم قیمتش روز به روز افزایش پیدا نکنه,پیشنهاد می‌کنم
515,خوبه برای تغییر هوامحیط کوچیک,پیشنهاد می‌کنم
516,پنکه,پیشنهاد می‌کنم
517,کار راه انداز,مصرف کم
518,پنکه رومیزی عالی . از دیجی کالا متشکرم,پیشنهاد می‌کنم
519,برای محیط کوچک خوبه,پیشنهاد می‌کنم
520,عالی عالی,پیشنهاد می‌کنم
521,بسیار خوب.,پیشنهاد می‌کنم
522,خوبه,پیشنهاد می‌کنم
523,کار راندازه و برا اتاق خوبه,پیشنهاد می‌کنم
524,کوچک و قابل حمل مناسب اتاق کوچک,پیشنهاد می‌کنم
525,کوچولو و مفید,پیشنهاد می‌کنم
526,خوب,پیشنهاد می‌کنم
527,عالی,پیشنهاد می‌کنم
528,وسیله ای کاربردی. سالم بدستم رسید.,پیشنهاد می‌کنم
529,رضا خزانه داری,پیشنهاد می‌کنم
530,کارآمد و خوب بهتر از نبودنشه,پیشنهاد می‌کنم
531,کالای ایرانی با کیفیت,مطمئن نیستم
532,خوبه راضی ام,پیشنهاد می‌کنم
533,به نظرم خوبه با این قیمت,پیشنهاد می‌کنم
534,من از این پنکه خیلی رازی هستم,دور یک از همه بهتر هستش
535,کاربردی,پیشنهاد می‌کنم
536,کیفیت خوبی داره به این زودیا خراب نمیشه یکیش پارسال سفارش دادم به خوبی کار میکنه یکی هم جدیدا سفارش دادم ولی تو سری جدید یکم صداش زیاده اما قبلیه دور کندش تقریبا بدون صدا بود.,پیشنهاد می‌کنم
537,عالی,پیشنهاد می‌کنم
538,خیلی عالی پیشنهاد میکنم,پیشنهاد می‌کنم
539,خوبه ولی دکمه کم و زیاد اصلا پسندم نیست,پیشنهاد می‌کنم
540,طول عمر زیاد,پیشنهاد می‌کنم
541,خوبه باهاش مشکلی ندارم,پیشنهاد می‌کنم
542,اندازه خوب,پیشنهاد می‌کنم
543,خوب بود,پیشنهاد می‌کنم
544,به معنای واقعی عالی,پیشنهاد می‌کنم
545,خیلی خوبه، سه تا حالت تنظیم سرعت باد هم داره,پیشنهاد می‌کنم
546,نسبت به قیمت و کارکرد به صرفه هست و برای یک اتاق ۱۲ متری کافی میباشد .,پیشنهاد می‌کنم
547,به نسبت قیمت عالیه,پیشنهاد می‌کنم
548,خیلی خوبه قیمتشم خوبه,پیشنهاد می‌کنم
549,پنکه رومیزی دمنده,پیشنهاد می‌کنم
550,عالی و کم صدا,پیشنهاد می‌کنم
551,عالیه,پیشنهاد می‌کنم
552,بیست,پیشنهاد می‌کنم
553,حرف نداره,پیشنهاد می‌کنم
554,عالی,پیشنهاد می‌کنم
555,پنکه,پیشنهاد می‌کنم
556,عالی,پیشنهاد می‌کنم
557,خوب بود,پیشنهاد می‌کنم
558,عالی بود! فقط درجه بندی‌اش برعکس بود,پیشنهاد می‌کنم
559,محصول خوبی هست,پیشنهاد می‌کنم
560,پنکه,پیشنهاد می‌کنم
561,عالی,پیشنهاد می‌کنم
562,خیلی عالیه،ولی یهو گرون شد,پیشنهاد می‌کنم
563,دیدگاه من مثبت هست,پیشنهاد می‌کنم
564,خوب,پیشنهاد می‌کنم
565,یه ساله خریدم،هنوزم کار میکنه,پیشنهاد می‌کنم
566,خوبه ولی اگه دورش بیشتر بود، بهتر میشد,پیشنهاد می‌کنم
567,کاربردی و قابل حمل,پیشنهاد می‌کنم
568,خوب هست عالی,پیشنهاد می‌کنم
569,خیلی خوبه . جمع و جور و با طراحی خوب,پیشنهاد می‌کنم
570,از کیفیت پنکه راضی ام,پیشنهاد می‌کنم
571,عالی و با دوام,پیشنهاد می‌کنم
572,خوبه,پیشنهاد می‌کنم
573,پنکه دمنده,پیشنهاد می‌کنم
574,جالب,پیشنهاد می‌کنم
575,پنکه بی دقت,پیشنهاد نمی‌کنم
576,خیلی خوبه بادش,پیشنهاد می‌کنم
577,بسیار عالی- برای اتاق خواب گرفتیم تقریبا کم صداست و صداش آزار نمیده و میشه با صداش خوابید. پرتاب باد خوبی داره و تهویه اتاق رو خوب میکنه,پیشنهاد می‌کنم
578,خوب بود. من به عنوان کولپد کامپیوتر استفاده میکنم.,پیشنهاد می‌کنم
579,پنکه رو میزی دمنده,پیشنهاد می‌کنم
580,خوبه,پیشنهاد می‌کنم
581,فعلا که خوبه،موقع لستفاده بوی سوختگی اینا هم نداره,کوچک
582,خیلی عالیه برای میز کار یا اتاق,پیشنهاد می‌کنم
583,پنکه رو میزی,پیشنهاد می‌کنم
584,پنکه,پیشنهاد می‌کنم
585,پنکه رو میزی,پیشنهاد می‌کنم
586,خوب,پیشنهاد می‌کنم
587,عالی بود,پیشنهاد می‌کنم
588,دگمش بدعکسه,پیشنهاد می‌کنم
589,عالی,پیشنهاد می‌کنم
590,جذاب و کاربردیه,پیشنهاد می‌کنم
591,پایه اش شکستگی باز داشت که خودم درست کردم,پیشنهاد می‌کنم
592,من راضی بودم ، برای یک نفر خیلی خوب و کافی هست . ۲ سال‌ میشه دارمش,پیشنهاد می‌کنم
593,نسبت به قیمتش خوبه,پیشنهاد می‌کنم
594,دو ساله دارم استفاده میکنم ، خوبه و نسبت به قیمتش کیفیت خوبی داره,پیشنهاد می‌کنم
595,عالیه,پیشنهاد می‌کنم
596,کیفیت بدنه خوب نیست,پیشنهاد می‌کنم
597,خوبه فقط صداش زیاده,پیشنهاد می‌کنم
598,عالی,پیشنهاد می‌کنم
599,کیفیت,پیشنهاد می‌کنم
600,خوب,پیشنهاد می‌کنم
601,بنظر خوب میاد,پیشنهاد می‌کنم
602,هنوز استفاده نکردم نمی‌دونم فقط تست‌ک‌کردم دکمه کمش زیاد بود قسمت زیادش کم,پیشنهاد می‌کنم
603,هم هواکش هم پنکه,پیشنهاد می‌کنم
604,خوبه,پیشنهاد می‌کنم
605,ارزش خرید دارد,پیشنهاد می‌کنم
606,زیاد راضی نیستم,پیشنهاد می‌کنم
607,کارایی خوب. مصرف کم. پیشنهاد میشه,پیشنهاد می‌کنم
608,خیلی خوب بود,پیشنهاد می‌کنم
609,میارزه,پیشنهاد می‌کنم
610,خیلی خوب بود,پیشنهاد می‌کنم
611,خیلی کوچیک هست ولی واقعا پرقدرت وخیلی خوب خنک میکنه,پیشنهاد می‌کنم
612,پنکه کوچک ، سبک ، کم صدا و پر بازده,صدای کم
613,برای فضا تا ۱۰ متر خوبه,پیشنهاد می‌کنم
614,پنکه رومیزی دمنده,پیشنهاد می‌کنم
615,خوب و کارامد هر,پیشنهاد می‌کنم
616,حمایت کنید از تولید داخل,پیشنهاد می‌کنم
617,یک پنکه حدودا بیست در بیست ایستاده با باد مناسب برای مریضم روی تخت بیمارستان گرفتم راضی بود. با برق شهری کار می‌کنه.,پیشنهاد می‌کنم
618,کیفیت بالا,پیشنهاد می‌کنم
619,خیلی خوبه فقط بسته بندیش موقع دریافت باز بود.,پیشنهاد می‌کنم
620,عالی,پیشنهاد می‌کنم
621,خیلی خوبه، موتورش اصلا داغ نمی کنه، کوچیک و جمع جوره، حتی تو مسافرتم می تونی ببری با خودت چون جایی نمی گیره، همین که طراحی شده با دور تند شروع به کار کنه معلومه فکر پشتش بود، یه عده الکی ایراد می گیره دکمه ها برعکسه، در صورتی که بهترین طراحیه,پیشنهاد می‌کنم
622,طراحی زیبا و عملکرد خوبی داره راضیم از خریدم,پیشنهاد می‌کنم
623,باددهی مناسب,پیشنهاد می‌کنم
624,پنکه,پیشنهاد می‌کنم
625,راضی ام,پیشنهاد می‌کنم
626,ضعیف,پیشنهاد نمی‌کنم
627,پنکه رومیزی,پیشنهاد می‌کنم
628,کارایی خوبی داره,پیشنهاد می‌کنم
629,دمنده,پیشنهاد می‌کنم
630,پرقدرت,پیشنهاد می‌کنم
631,کم صدا مناسب روزی میز,پیشنهاد می‌کنم
632,من برای خوابگاه دانشجویی گرفتم و کتار تختم گذاشتم خیلی خوبه,پیشنهاد می‌کنم
633,عالیه,پیشنهاد می‌کنم
634,وسیله ای مناسب,پیشنهاد می‌کنم
635,عالی,پیشنهاد می‌کنم
636,جنس ایرانی کیفیت بالا قوی و با کیفیت عمری,پیشنهاد می‌کنم
637,پنکه رومیزی دمنده سایز ۲۰,پیشنهاد می‌کنم
638,راضیم,پیشنهاد می‌کنم
639,پنکه,پیشنهاد می‌کنم
640,خوبه بنظرم.,پیشنهاد می‌کنم
641,عالی,پیشنهاد می‌کنم
642,عالی,پیشنهاد می‌کنم
643,عالی بود,پیشنهاد می‌کنم
644,پیشنهاد میشه 👍,پیشنهاد می‌کنم
645,خوب هر محصولی کاربردی داره اگر باد ثابت دوست داریید عالیه من برای پسرم خریدم چون با کامپیوتر خیلی کار داره روی میز خیلی کم جا هست,پیشنهاد می‌کنم
646,این سومین باره این پنکه رو میخرم اپل واسه خودم بعد خواهرم و مادرم بنظرم فوق العاده کاربردی است من تو آشپزخونه برای خشک کردن سبزی و میوه استفاده میکنم مال خودم الان سه سال هستش و خیلی برام مفید و کار آه انداز بوده,پیشنهاد می‌کنم
647,پنکه رومیزی دمنده مدل HALEH,پیشنهاد می‌کنم
648,ساده و کاربردی,پیشنهاد می‌کنم
649,پیشنهاد خرید برای اتاق خواب* و رو میزی مناسب*,پیشنهاد می‌کنم
650,کامپکت,پیشنهاد می‌کنم
651,پنکه رومیزی,پیشنهاد می‌کنم
652,خوبه. من گذاشتمش تو تراس,پیشنهاد می‌کنم
653,برای اتاق خواب میخواستم.خیلی خوبه مسافرت هم میشه برد ولی برای فضاهای بزرگتر جواب نمیده,پیشنهاد می‌کنم
654,خوب و خنک میکنه اتاق کوچیک برای محیط کوچک مناسب کارتن بسته پاره بود,پیشنهاد می‌کنم
655,گاهی خودش قطع میکنه,مطمئن نیستم
656,خیلی خیلی عالیه😍,پیشنهاد می‌کنم
657,پنکه,پیشنهاد می‌کنم
658,قیمتش بالاست کلا فروشنده ها در دیجی کالا با قیمت های بالاتری از بازار محصولاتشون رو میفروشن,پیشنهاد می‌کنم
659,خوبه,پیشنهاد می‌کنم
660,بسته بندی افتضاح,مطمئن نیستم
661,بسیار عالی,پیشنهاد می‌کنم
662,من کل فن های خنک کننده موبایل رو دور زدم با این محصول,پیشنهاد می‌کنم
663,عالی بود,پیشنهاد می‌کنم
664,خوبه به نظرم,مطمئن نیستم
665,پنکه,پیشنهاد می‌کنم
666,عالییی,پیشنهاد می‌کنم
667,به نظرم برای دم دستی خوبه,پیشنهاد می‌کنم
668,قدرت خوبی نسبت به اندازش داره اگه گرونشش نکنن خوبه,پیشنهاد می‌کنم
669,نسبت به قیمتش خوبه,پیشنهاد می‌کنم
670,پنکه,پیشنهاد می‌کنم
671,عالی بود,پیشنهاد می‌کنم
672,پنکه کوچیک و بصرفه برای مکانهای کوچک,پیشنهاد می‌کنم
673,محصول تک بازار,پیشنهاد می‌کنم
674,باد خوبی داره,پیشنهاد می‌کنم
675,کیفیت خوب,پیشنهاد می‌کنم
676,خوب,پیشنهاد می‌کنم
677,خوب بود,پیشنهاد می‌کنم
678,با توصیه همکارام خریدم قبلا داشتن راضی بودن,پیشنهاد می‌کنم
679,به نظر من خوبه . امیدوارم توی دراز مدت پشیمون نشم,پیشنهاد می‌کنم
680,دمنده خوبه,پیشنهاد می‌کنم
681,کاربردی,پیشنهاد می‌کنم
682,در مورد پنکه رومیزی دمنده مدل Haleh,پیشنهاد می‌کنم
683,بامزه بود خوشم اومد فقط ای کاش دووم بیاره هنوز نمیدونم تو گرما چطوره,پیشنهاد می‌کنم
684,عالی,پیشنهاد می‌کنم
685,خیلی خوبه پیشنهاد میشه,پیشنهاد می‌کنم
686,خوب بود از همه لحاظ,پیشنهاد می‌کنم
687,پیشنهاد میکنم,پیشنهاد می‌کنم
688,گارانتی گذشته و مشکل فنی در دستگاه,پیشنهاد نمی‌کنم
689,پرتاپ باد خوبی داره و حتی در کمترین درجه باد خنک کننده ای داره,پیشنهاد می‌کنم
690,تو کامنت خوندم صداش تو دور تند زیاده و دو دل شدم ولی صدایی که میاد صدای باده نه دستگاه نمیدونم چجور نظر میدن و بقیه رو به شک میندازن و دکمه دور تندش برعکسه,پیشنهاد می‌کنم
691,از عکس بزرگتر و باکیفیت تر بود سه درجه واسه تنظیم باد داره که خیلی خوبه و نسبت به قیمت کاملا مناسبه,پیشنهاد می‌کنم
692,پنکه خوبیه توصیه میکنم,پیشنهاد می‌کنم
693,عالی,پیشنهاد می‌کنم
694,عالی کاش میشد مثل قدیما همه چیز رو از خود دیج کالا خرید مستقیم تاریخ تولید مال من 5/1402بود داره هنوز10 ماه گارانتی,پیشنهاد می‌کنم
695,بی نظیر,پیشنهاد می‌کنم
696,پرتاب باد خوبی داره,پیشنهاد می‌کنم
697,پرتاب باد قوی اقتصادی و کار راه انداز,پیشنهاد می‌کنم
698,عالی,پیشنهاد می‌کنم
699,خیلی عالی بود من از عملکردش راضی بودم,پیشنهاد می‌کنم
700,کیفیت خوبی داره فقط اگه پایه هاش یه پد ضد لغزش داشت صداش کمتر میشد تنها نقطه ضعفش همینه,پیشنهاد می‌کنم
701,خوب بود,پیشنهاد می‌کنم
702,فعلا راضیم,پیشنهاد می‌کنم
703,خوشم اومد نسبت به حجمش بادش خوبه و خنکه. پبشنهاد میکنم,پیشنهاد می‌کنم
704,خیلی خوبه,پیشنهاد می‌کنم
705,زیبا,پیشنهاد می‌کنم
706,پنکه رومیزی دمنده مدل Haleh,پیشنهاد می‌کنم
707,بدون نقص و طبق اطلاعات سایت,پیشنهاد می‌کنم
708,عالی,پیشنهاد می‌کنم
709,به نظر خوب میاد,پیشنهاد می‌کنم
710,معمولی,پیشنهاد می‌کنم
711,کم صدا وجمع وجور نسبتا خوبه راضی ام,پیشنهاد می‌کنم
712,پنکه هاله مدل ۲۰,پیشنهاد می‌کنم
713,عالی,پیشنهاد می‌کنم
714,عالیه,پیشنهاد می‌کنم
715,خوب,پیشنهاد می‌کنم
716,نسبت به قیمت مناسب,پیشنهاد می‌کنم
717,عالی از هر نظر,پیشنهاد می‌کنم
718,اگر تخفیف بیشتر باشه که خیلی خوبه,پیشنهاد می‌کنم
719,با جمال,پیشنهاد می‌کنم
720,خوب بود اما برای اتاق,پیشنهاد می‌کنم
721,خوبه,پیشنهاد می‌کنم
